"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TCS","EQ","16-Sep-2019","       2141.95","       2159.95","       2173.40","       2126.40","       2150.00","       2150.00","       2151.17","    2597948","          5588631429.95","     151943","    1165596","         44.87"
"TCS","EQ","17-Sep-2019","       2150.00","       2154.95","       2156.55","       2105.60","       2126.40","       2122.65","       2123.78","    2796530","          5939218333.70","     121706","    1594628","         57.02"
"TCS","EQ","18-Sep-2019","       2122.65","       2126.40","       2142.95","       2113.15","       2141.15","       2138.55","       2133.02","    1454663","          3102820740.35","      94064","     674870","         46.39"
"TCS","EQ","19-Sep-2019","       2138.55","       2135.00","       2135.80","       2091.00","       2096.90","       2101.95","       2103.74","    1652691","          3476827643.50","     101537","     791932","         47.92"
"TCS","EQ","20-Sep-2019","       2101.95","       2104.90","       2129.40","       2057.00","       2069.00","       2065.45","       2083.70","    6941979","         14464976393.50","     275363","    4570451","         65.84"
"TCS","EQ","23-Sep-2019","       2065.45","       2099.00","       2099.00","       1975.00","       2020.00","       2015.80","       2011.62","    6323401","         12720249671.40","     293188","    3672464","         58.08"
"TCS","EQ","24-Sep-2019","       2015.80","       2015.00","       2061.00","       2013.00","       2047.30","       2044.70","       2045.07","    4620978","          9450241270.55","     219776","    2506661","         54.25"
"TCS","EQ","25-Sep-2019","       2044.70","       2065.00","       2092.00","       2060.05","       2084.00","       2088.45","       2077.98","    4002232","          8316551653.85","     205505","    2508929","         62.69"
"TCS","EQ","26-Sep-2019","       2088.45","       2097.90","       2107.00","       2063.00","       2089.60","       2087.60","       2084.45","    4234281","          8826127623.55","     216311","    2698499","         63.73"
"TCS","EQ","27-Sep-2019","       2087.60","       2085.00","       2085.20","       2051.40","       2059.00","       2056.15","       2065.56","    2046795","          4227783647.60","     125241","    1044628","         51.04"
"TCS","EQ","30-Sep-2019","       2056.15","       2061.85","       2104.00","       2060.00","       2097.00","       2099.30","       2090.07","    2620039","          5476076783.10","     124092","    1414661","         53.99"
"TCS","EQ","01-Oct-2019","       2099.30","       2095.95","       2095.95","       2039.70","       2060.30","       2059.95","       2059.04","    3342877","          6883109000.95","     170294","    2098408","         62.77"
"TCS","EQ","03-Oct-2019","       2059.95","       2070.00","       2081.15","       2046.15","       2056.00","       2060.25","       2065.47","    2317618","          4786975229.10","     187925","    1389047","         59.93"
